"id","integrator_request_id","request","response"
325,"246382-231968-196fb9293c3","{""serviceId"":""smev-inspector"",""requestType"":""ROSACCR-RAP"",""additionalDetails"":""246382-231968-196fb9293c3"",""requestContent"":{""type"":""Rap"",""number"":""1""},""requestId"":""a351e0ea-352a-4400-b189-5e038167a58d"",""clientInternalNumber"":""Л-1584""}",
2806,"246379-231968-196f8af206d","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1584"",""requestType"":""INFZDL"",""additionalDetails"":""246379-231968-196f8af206d"",""requestContent"":{""inn"":""7841051711"",""date"":""2025-05-01"",""request"":{""ulName"":""Наименование юридического лица"",""ogrn"":""1000000000000"",""innUl"":""1000000002""},""requestId"":""c1028e4d-229f-40fb-968c-e57293dcbe96""},""requestId"":""1dc06600-e2e6-4e41-969f-7f612f8e7e6a""}",
75280,"246377-231968-196f8af20b4","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1584"",""requestType"":""EGRUL"",""additionalDetails"":""246377-231968-196f8af20b4"",""requestContent"":{""innUl"":""7841051711"",""requestId"":""a5cbc1cf-f525-40ee-a50f-62e03defe966""},""requestId"":""e2c10bf6-f151-4e9f-af5e-2e975db02483""}",
334,"246382-231968-196fb9293c3","{""serviceId"":""smev-inspector"",""requestType"":""ROSACCR-RCC"",""additionalDetails"":""246382-231968-196fb9293c3"",""requestContent"":{""number"":""1""},""requestId"":""27f8b82e-dd44-4f69-b9cc-ec227b516f8c"",""clientInternalNumber"":""Л-1584""}",
1631,"246381-231968-196f8af211c","{""serviceId"":""smev-inspector"",""clientInternalNumber"":""Л-1584"",""requestType"":""GISGMP"",""additionalDetails"":""246381-231968-196f8af211c"",""requestContent"":{""requestId"":""f_b4af3632-690f-4873-9e9f-3b91b8e6d651"",""timestamp"":""2025-05-22T18:49:09.033853683"",""senderIdentifier"":""35369b"",""senderRole"":""1"",""pageNumber"":null,""pageLength"":null,""kind"":""CHARGESTATUS"",""supplierBillID"":null,""deptDate"":""2025-05-22"",""external"":""0"",""inn"":""7841051711""},""requestId"":""180aa874-5ddf-4abf-95e4-838c7ac73df2""}",
